date,year,month,day,voltage,arus,power,energy,frequency,powerfactor
20/02/2021,2021,2,20,202.3,0.03,0.8,0.13,50,0.13
20/02/2021,2021,2,20,200.8,0.17,33,0.13,50,0.98
20/02/2021,2021,2,20,202.9,0.18,34.6,0.14,49.9,0.97
20/02/2021,2021,2,20,200.1,0.17,33.7,0.14,49.8,0.98
20/02/2021,2021,2,20,200.7,0.17,32.8,0.15,49.8,0.98
20/02/2021,2021,2,20,201.9,0.17,34.2,0.16,49.9,0.97
20/02/2021,2021,2,20,203.6,0.18,34.8,0.17,50,0.98
20/02/2021,2021,2,20,201.7,0.17,34.2,0.18,49.9,0.97
20/02/2021,2021,2,20,201.4,0.17,34.1,0.19,49.9,0.97
20/02/2021,2021,2,20,202.7,0.17,34.5,0.2,50,0.98
20/02/2021,2021,2,20,204.3,0.18,35,0.2,50,0.97
20/02/2021,2021,2,20,205,0.18,35.1,0.21,49.8,0.97
20/02/2021,2021,2,20,202,0.17,34.2,0.22,49.8,0.98
20/02/2021,2021,2,20,207,0.18,35.8,0.23,49.8,0.98
20/02/2021,2021,2,20,207.8,0.18,36.1,0.24,50,0.98
20/02/2021,2021,2,20,207.1,0.18,35.8,0.25,50,0.98
20/02/2021,2021,2,20,202.3,0.17,34.4,0.26,50,0.98
20/02/2021,2021,2,20,205.9,0.18,35.5,0.27,50,0.97
20/02/2021,2021,2,20,202.6,0.17,34.5,0.28,50,0.98
20/02/2021,2021,2,20,203.6,0.17,33.8,0.28,50,0.98
20/02/2021,2021,2,20,198.3,0.17,32.2,0.29,50,0.98
20/02/2021,2021,2,20,196,0.17,32.6,0.3,49.9,0.98
20/02/2021,2021,2,20,193.2,0.17,31.6,0.31,49.7,0.97
20/02/2021,2021,2,20,191.2,0.17,31.1,0.32,49.7,0.97
20/02/2021,2021,2,20,190.5,0.17,31,0.33,50,0.97
20/02/2021,2021,2,20,186.6,0.16,29.9,0.34,50,0.98
20/02/2021,2021,2,20,187.6,0.17,30.2,0.34,49.9,0.98
20/02/2021,2021,2,20,188,0.17,30.3,0.35,50,0.98
20/02/2021,2021,2,20,187.9,0.17,30.3,0.36,50,0.98
20/02/2021,2021,2,20,187.7,0.17,30.2,0.37,49.9,0.98
20/02/2021,2021,2,20,195.7,0.17,32.4,0.38,49.8,0.97
20/02/2021,2021,2,20,190.1,0.17,30.9,0.38,49.9,0.97
20/02/2021,2021,2,20,190.2,0.17,30.9,0.39,49.9,0.97
20/02/2021,2021,2,20,191.7,0.17,31.4,0.4,50,0.97
20/02/2021,2021,2,20,188.6,0.17,30.4,0.41,49.9,0.98
20/02/2021,2021,2,20,190.3,0.17,30.9,0.41,50,0.97
20/02/2021,2021,2,20,193.2,0.17,31.8,0.42,50,0.97
20/02/2021,2021,2,20,196.1,0.17,32.6,0.43,49.8,0.98
20/02/2021,2021,2,20,191.8,0.17,31.4,0.44,50,0.97
20/02/2021,2021,2,20,196.7,0.17,32.7,0.45,49.7,0.98
20/02/2021,2021,2,20,199.5,0.17,33.6,0.45,50,0.97
20/02/2021,2021,2,20,198.6,0.17,33.4,0.46,50,0.98
20/02/2021,2021,2,20,193.6,0.17,31.9,0.47,49.9,0.97
20/02/2021,2021,2,20,194.8,0.16,30.2,0.48,49.9,0.97
21/02/2021,2021,2,21,197.3,0.16,30.9,0.48,50,0.97
21/02/2021,2021,2,21,196.5,0.16,30.7,0.49,50,0.96
21/02/2021,2021,2,21,196.6,0.16,30.7,0.5,50,0.96
21/02/2021,2021,2,21,204.7,0.03,0.9,0.5,50,0.14
21/02/2021,2021,2,21,207.7,0.03,0.9,0.5,50.1,0.14
